date,time,press,temp,rh,wdir,wspeed,geopot,lon,lat,alt,u,v,sea,S,Cn2
2020-01-03 23:00:00,3610.0,65.66150999999999,205.14215,0.04006285190582275,297.07324,5.6232204,18942.416,-15.97552,28.261078,18862.82098,5.007058,-2.5592918,-76.77028,0.0026810522021050503,8.25469287005811e-18
2020-01-03 23:00:00,3611.0,65.609985,205.17223,0.03997395515441895,297.13324,5.615371700000002,18945.611,-15.975463,28.261065,18867.62398,4.997391,-2.5609536,-76.77374,0.0016916155488921835,8.368635106933509e-18
2020-01-03 23:00:00,3612.0,65.55731999999999,205.20763,0.0398808479309082,297.21927,5.614824,18952.12,-15.97541,28.261042,18872.70198,4.9930525,-2.5682037,-76.7772,0.002023507326250712,8.36673726254941e-18
2020-01-03 23:00:00,3613.0,65.50345,205.23273,0.039781932830810544,297.3333,5.6214900000000005,18957.21,-15.975364,28.261005,18877.77998,4.993853,-2.5811975,-76.78066,0.0031922268105519357,7.081238351924044e-18
2020-01-03 23:00:00,3614.0,65.44872,205.23833,0.039677484035491935,297.47647,5.635287,18962.076,-15.975322,28.260963,18882.87598,4.9996285,-2.6000328,-76.78409599999998,0.004589395353760096,5.565985025240512e-18
2020-01-03 23:00:00,3615.0,65.39357,205.23497,0.03956620931625366,297.6477700000001,5.6561847,18967.594,-15.97528,28.26092,18887.92498,5.0103455000000015,-2.6246648,-76.78757,0.0062082613485067864,4.545420264271664e-18
2020-01-03 23:00:00,3616.0,65.33845500000001,205.23358,0.03944927453994751,297.8445,5.684118,18973.553,-15.975238,28.260876,18892.74598,5.026002,-2.6549015,-76.791016,0.007688187628521261,3.925414109207389e-18
2020-01-03 23:00:00,3617.0,65.28384,205.22757,0.0393247938156128,298.06384,5.718818700000001,18977.332,-15.975195,28.26084,18897.66698,5.046423,-2.6904461,-76.79448000000002,0.008694715153207333,3.731965902851913e-18
2020-01-03 23:00:00,3618.0,65.2299,205.21991,0.039192004203796385,298.30347,5.7597613,18983.268,-15.975153,28.260813,18902.89198,5.0711746,-2.7309413,-76.79791999999998,0.00973238349377002,3.664265048192043e-18
2020-01-03 23:00:00,3619.0,65.17657,205.21107,0.039049906730651854,298.56097,5.806306,18987.432,-15.975112,28.260794,18908.031980000007,5.0997295,-2.7759583,-76.80136,0.010969509603349864,3.5979422015978666e-18
